id,domain_var,domain_grad,domain_range,dR2_r1,dR2_r9
H_0094,4.930558059495087,5.044256476476676,11.097836570211062,0.001,0.0
H_0045,2.1804000245833026,4.133148712516855,9.69397637520578,0.12,0.181
H_0113,5.246127275139029,5.427300262704266,9.078254413470852,0.285,0.027
H_0042,4.905977864602633,4.552947879506735,13.180542402242871,0.115,0.011
H_0143,2.270220747292852,2.6321450395085844,6.073834848073571,0.084,0.064
H_0072,0.2590871313482468,1.2865002996607784,2.6043759269166897,0.266,0.078
H_0111,2.1905065938601735,2.781679980974896,6.179336160231657,0.066,0.006
H_0302,0.6307341195000762,1.899672533794103,4.015049028270759,0.274,0.303
H_0074,1.2664138274938856,2.6531923819332945,4.713954175489233,0.325,0.188
H_0272,1.0809317530942009,1.7694484324087616,4.74025989232292,0.182,0.053
H_0151,0.8482785290992649,3.0595162294939366,4.281762020387177,0.241,0.084
H_0013,1.0900247307914135,2.17297200555298,4.724508063444006,0.249,0.108
H_0188,0.21294414029422087,1.022240759306818,3.1095596925268216,0.209,0.267
H_0223,2.980027017948034,3.275674086351138,7.571665683259774,0.263,0.367
H_0290,3.4351792235988583,3.7097057897539956,8.90842656711149,0.164,0.177
H_0271,3.806768611736257,4.488389386450482,11.210426675315478,0.249,0.309
H_0033,5.997332176845907,4.339380657091991,12.54606030445641,0.141,0.032
H_0269,5.353312529442038,4.378926801024992,10.954836383258371,0.133,0.014
H_0211,3.7974959895835405,4.332613632250598,9.58497987604072,0.321,0.365
H_0185,3.957597690978436,3.5136105658525967,11.733237280573867,0.192,0.197
H_0235,4.612584584909371,4.605075371402596,11.21044714418587,0.087,0.005
H_0276,1.191469791196035,2.8071509431890935,6.6355629092620845,0.351,0.079
H_0026,3.351003112310568,3.5081037850257477,9.407598406699462,0.209,0.163
H_0140,3.787018337357895,4.175614322115424,10.801498050896287,0.322,0.361
H_0282,4.926343031087842,5.3287913227385815,11.410798674289785,0.118,0.153
H_0053,2.469068180985955,3.5420011828750932,9.11418870514073,0.161,0.234
H_0016,5.982317738882402,4.567689798427459,12.07049797191945,0.069,0.008
H_0146,3.810351360518013,4.457130428193762,11.273669667908766,0.259,0.16
H_0007,4.392609151611464,4.433683666046755,9.43969205526105,0.2,0.314
H_0008,3.1067661411790137,3.531973707291081,9.880419639296708,0.147,0.241
H_0291,3.8223958730905783,3.723885737915736,10.096663745630254,0.019,0.042
H_0115,3.491353161917344,4.255747930239732,10.05434009852456,0.385,0.437
H_0131,2.4243701807027973,4.452245910067891,7.818782786725642,0.031,0.053
H_0038,5.591731370696465,4.453621584263381,11.166201446655238,0.269,0.117
H_0198,2.5456987511552156,2.7674601073308898,8.007349582394994,0.309,0.141
H_0206,3.6267963459014734,3.871020465079941,9.709605504589867,0.09,0.015
H_0095,2.07071273874112,3.636508313179419,7.328904775721474,0.334,0.392
H_0005,3.578443370888872,3.7549889210195104,9.535841470511382,0.265,0.194
H_0106,2.6877982485518626,2.975409715270415,8.318339114818189,0.408,0.005
H_0261,1.2209147455534897,2.4925721280950346,6.57173935010934,0.125,0.042
H_0035,4.0067042591952005,3.542674482527725,8.47466879114041,0.0,0.044
H_0264,2.5949293278308514,3.1578402085747057,7.298403298268715,0.332,0.363
H_0086,2.5649139390221087,3.96872446548757,7.363002708019441,0.357,0.416
H_0265,2.9309900135936755,3.3980222210336204,6.84169083440438,0.082,0.032
