id,desc,rank_M1_S_shannon,rank_AL_S_shannon,rank_M1_S_boltzmann,board_n_stones,board_n_black,board_n_white,board_n_empty,board_density,board_balance,board_n_territory_line,board_n_influence_line,board_n_corner_3x3,board_n_clusters_B,board_n_clusters_W,board_largest_group,board_spread_B,board_spread_W,board_min_dist_BW,board_cm_B_r,board_cm_B_c,board_cm_W_r,board_cm_W_c,m1_E_total,m1_E_mean,m1_E_std,m1_E_mean_active,m1_E_std_active,m1_n_active_bonds,m1_frac_active,m1_frac_En2,m1_frac_En1,m1_frac_E0,m1_frac_Ep1,m1_frac_Ep2,m1_frac_Eneg,m1_frac_Epos,m1_E_asym,m1_E_skewness,m1_E_kurtosis,m1_S_shannon,m1_S_gibbs,m1_S_boltzmann,m1_H_hist,m1_T_eff,m1_T_eff_is_inf,m1_lnW_per_bond,al_E_total,al_E_mean,al_E_std,al_E_mean_active,al_E_std_active,al_n_active_bonds,al_frac_active,al_frac_En1,al_frac_E0,al_frac_Ep1,al_frac_Eneg,al_frac_Epos,al_E_asym,al_S_shannon,al_S_gibbs,al_S_boltzmann,al_H_hist,al_T_eff,al_T_eff_is_inf,al_lnW_per_bond,map_E_total,map_E_mean,map_E_std,map_E_max,map_E_min,map_E_range,map_n_pos_cells,map_n_neg_cells,map_n_zero_cells,map_frac_pos,map_frac_neg,map_S_shannon,map_S_boltzmann,map_T_eff,map_T_eff_is_inf,cmp_delta_S_shannon,cmp_delta_S_boltzmann,cmp_delta_S_gibbs,cmp_delta_H_hist,cmp_delta_E_total,cmp_delta_T_eff,cmp_delta_n_active,cmp_ratio_S_shannon,cmp_ratio_S_boltzmann,cmp_ratio_n_active,m1_stirling_residual,al_stirling_residual
1b,4-4 hoshi,18,10,18,1,1,0,80,0.012346,1.000000,0,1,0,1,0,1,0.000000,0.000000,-1.000000,0.333333,0.333333,-1.000000,-1.000000,-12.000000,-0.037037,0.245676,-1.500000,0.500000,8,0.024691,0.012346,0.012346,0.975309,0.000000,0.000000,0.024691,0.000000,-0.024691,0.000000,-2.000000,2.022809,1.409890,39.802746,0.132889,0.166667,0,0.122848,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.780744,0.000000,-0.000000,0.000000,0,0.000000,-12.000000,-0.148148,0.610830,0.000000,-4.000000,4.000000,0,5,76,0.000000,0.061728,1.560710,3.343403,0.266667,0,2.022809,39.802746,-4.370853,0.132889,-12.000000,0.166667,8,9999.000000,9999.000000,9999.000000,-3.253259,0.000000
2b,3-4 komoku,18,10,18,1,1,0,80,0.012346,1.000000,1,0,0,1,0,1,0.000000,0.000000,-1.000000,0.222222,0.333333,-1.000000,-1.000000,-12.000000,-0.037037,0.245676,-1.500000,0.500000,8,0.024691,0.012346,0.012346,0.975309,0.000000,0.000000,0.024691,0.000000,-0.024691,0.000000,-2.000000,2.022809,1.409890,39.802746,0.132889,0.166667,0,0.122848,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.780744,0.000000,-0.000000,0.000000,0,0.000000,-12.000000,-0.148148,0.610830,0.000000,-4.000000,4.000000,0,5,76,0.000000,0.061728,1.560710,3.343403,0.266667,0,2.022809,39.802746,-4.370853,0.132889,-12.000000,0.166667,8,9999.000000,9999.000000,9999.000000,-3.253259,0.000000
3b,Approach bajo a 3-4,14,10,14,2,1,1,79,0.024691,0.000000,1,1,0,1,1,1,0.000000,0.000000,3.000000,0.333333,0.555556,0.222222,0.333333,0.000000,0.000000,0.351364,0.000000,1.581139,16,0.049383,0.012346,0.012346,0.950617,0.012346,0.012346,0.024691,0.024691,0.000000,0.000000,-1.640000,2.715956,5.780719,79.403259,0.265153,50.000000,1,0.245072,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.780744,0.000000,-0.000000,0.000000,0,0.000000,0.000000,0.000000,0.888889,4.000000,-4.000000,8.000000,5,5,71,0.061728,0.061728,2.253858,3.273299,50.000000,1,2.715956,79.403259,-0.000025,0.265153,0.000000,50.000000,16,9999.000000,9999.000000,9999.000000,-6.506197,0.000000
4b,Invasion san-san (3-3) a hoshi,14,10,14,2,1,1,79,0.024691,0.000000,1,1,1,1,1,1,0.000000,0.000000,2.000000,0.222222,0.222222,0.333333,0.333333,0.000000,0.000000,0.351364,0.000000,1.581139,16,0.049383,0.012346,0.012346,0.950617,0.012346,0.012346,0.024691,0.024691,0.000000,0.000000,-1.640000,2.715956,5.780719,79.403259,0.265153,50.000000,1,0.245072,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.780744,0.000000,-0.000000,0.000000,0,0.000000,0.000000,0.000000,0.769800,4.000000,-4.000000,8.000000,3,3,75,0.037037,0.037037,1.732868,3.264722,50.000000,1,2.715956,79.403259,-0.000025,0.265153,0.000000,50.000000,16,9999.000000,9999.000000,9999.000000,-6.506197,0.000000
5b,Joseki san-san — invader en gote,8,5,7,5,2,3,76,0.061728,-0.200000,4,1,2,2,2,2,0.707107,0.745356,1.000000,0.277778,0.166667,0.296296,0.222222,8.000000,0.024691,0.429623,0.266667,1.388844,30,0.092593,0.012346,0.024691,0.907407,0.037037,0.018519,0.037037,0.055556,0.018519,-0.334241,-1.353214,3.342306,5.779002,131.687881,0.429748,7.233333,0,0.406444,-6.000000,-0.018519,0.174703,-0.600000,0.800000,10,0.030864,0.024691,0.969136,0.006173,0.024691,0.006173,-0.018519,2.302585,5.759820,46.369419,0.153178,1.066667,0,0.143115,8.000000,0.098765,0.763438,4.000000,-2.000000,6.000000,6,3,72,0.074074,0.037037,2.163956,4.100108,5.111111,0,1.039721,85.318462,0.019182,0.276570,14.000000,6.166667,20,1.451545,2.839973,3.000000,-7.550420,-3.260256
6b,Extension blanca tras joseki,4,2,5,6,2,4,75,0.074074,-0.333333,5,1,2,2,2,3,0.707107,0.866025,1.000000,0.277778,0.166667,0.333333,0.222222,16.000000,0.049383,0.468811,0.444444,1.342561,36,0.111111,0.012346,0.024691,0.888889,0.049383,0.024691,0.037037,0.074074,0.037037,-0.570254,-1.067649,3.524627,5.774285,151.028020,0.490280,4.055556,0,0.466136,-4.000000,-0.012346,0.192054,-0.333333,0.942809,12,0.037037,0.024691,0.962963,0.012346,0.024691,0.012346,-0.012346,2.484907,5.777875,55.380108,0.181985,2.666667,0,0.170926,16.000000,0.197531,0.921884,4.000000,-2.000000,6.000000,7,2,72,0.086420,0.024691,2.138333,4.146838,2.722222,0,1.039721,95.647912,-0.003590,0.308295,20.000000,1.388889,24,1.418414,2.727117,3.000000,-7.822599,-3.583087
7b,Approach bajo a 4-4,14,10,14,2,1,1,79,0.024691,0.000000,0,2,0,1,1,1,0.000000,0.000000,3.000000,0.444444,0.555556,0.333333,0.333333,0.000000,0.000000,0.351364,0.000000,1.581139,16,0.049383,0.012346,0.012346,0.950617,0.012346,0.012346,0.024691,0.024691,0.000000,0.000000,-1.640000,2.715956,5.780719,79.403259,0.265153,50.000000,1,0.245072,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.780744,0.000000,-0.000000,0.000000,0,0.000000,0.000000,0.000000,0.888889,4.000000,-4.000000,8.000000,5,5,71,0.061728,0.061728,2.253858,3.273299,50.000000,1,2.715956,79.403259,-0.000025,0.265153,0.000000,50.000000,16,9999.000000,9999.000000,9999.000000,-6.506197,0.000000
8b,Approach a cercado desde 4-4,9,10,10,3,2,1,78,0.037037,0.333333,1,2,0,2,1,1,1.089725,0.000000,3.000000,0.277778,0.444444,0.444444,0.666667,-12.000000,-0.037037,0.428735,-0.500000,1.500000,24,0.074074,0.024691,0.024691,0.925926,0.012346,0.012346,0.049383,0.024691,-0.024691,0.592593,-1.209877,3.121421,5.775714,110.299303,0.362545,4.500000,0,0.340430,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.780744,0.000000,-0.000000,0.000000,0,0.000000,-12.000000,-0.148148,1.078535,4.000000,-4.000000,8.000000,5,10,66,0.061728,0.123457,2.659323,3.100879,7.200000,0,3.121421,110.299303,-0.005029,0.362545,-12.000000,4.500000,24,9999.000000,9999.000000,9999.000000,-7.165434,0.000000
9b,Joseki san-san — variante,6,8,6,5,2,3,76,0.061728,-0.200000,4,1,3,1,2,2,0.433013,0.745356,1.000000,0.166667,0.222222,0.296296,0.222222,12.000000,0.037037,0.456623,0.375000,1.408678,32,0.098765,0.012346,0.024691,0.901235,0.037037,0.024691,0.037037,0.061728,0.024691,-0.415031,-1.305847,3.406109,5.777138,139.026281,0.452820,5.291667,0,0.429093,0.000000,0.000000,0.157135,0.000000,1.000000,8,0.024691,0.012346,0.975309,0.012346,0.012346,0.012346,0.000000,2.079442,5.780739,39.802746,0.132889,50.000000,1,0.122848,12.000000,0.148148,0.982704,4.000000,-4.000000,8.000000,8,3,70,0.098765,0.037037,2.341994,3.187652,5.575758,0,1.326668,99.223535,-0.003601,0.319931,12.000000,-44.708333,24,1.637992,3.492882,4.000000,-7.687386,-3.253259
10b,Salto doble desde komoku (cercado),14,10,17,2,2,0,79,0.024691,1.000000,2,0,0,2,0,1,1.224745,0.000000,-1.000000,0.222222,0.444444,-1.000000,-1.000000,-24.000000,-0.074074,0.343467,-1.500000,0.500000,16,0.049383,0.024691,0.024691,0.950617,0.000000,0.000000,0.049383,0.000000,-0.049383,0.000000,-2.000000,2.715956,2.099816,70.906269,0.230923,0.166667,0,0.218847,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.780744,0.000000,-0.000000,0.000000,0,0.000000,-24.000000,-0.296296,0.895040,0.000000,-4.000000,4.000000,0,9,72,0.000000,0.111111,2.138333,2.979876,0.333333,0,2.715956,70.906269,-3.680927,0.230923,-24.000000,0.166667,16,9999.000000,9999.000000,9999.000000,-3.912833,0.000000
