id,description,category,n_steps,dE_stone_mean,dE_stone_std,dE_stone_first,dE_stone_last,dE_stone_max,dE_stone_min,dE_stone_range,dE_monotone_inc,cum_E_M1_final,asym_M1_mean,occ_neighbors_mean,dS_M1_mean,dS_M1_total
1b,4-4 hoshi,apertura,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,2.0228,2.0228
2b,3-4 komoku,apertura,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,2.0228,2.0228
3b,Approach bajo a 3-4,approach,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358,2.716
4b,Invasion san-san (3-3) a hoshi,invasion,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358,2.716
5b,Joseki san-san — invader en gote,joseki,5,-0.2,3.1241,0.0,-6.0,3.0,-6.0,9.0,0.5,8.0,0.0,1.0,0.6685,3.3423
6b,Extension blanca tras joseki,joseki,6,-0.3333,2.8674,0.0,-1.0,3.0,-6.0,9.0,0.6,16.0,0.0,1.0,0.5874,3.5246
7b,Approach bajo a 4-4,approach,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358,2.716
8b,Approach a cercado desde 4-4,approach,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,1.0405,3.1214
9b,Joseki san-san — variante,joseki,5,1.2,1.1662,0.0,1.0,3.0,0.0,3.0,0.5,12.0,-0.8,0.8,0.6812,3.4061
10b,Salto doble desde komoku (cercado),enclosure,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,1.358,2.716
11b,Approach alto a komoku,approach,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358,2.716
12b,Joseki san-san — 6 jugadas,joseki,6,-0.1667,2.8529,0.0,0.0,3.0,-6.0,9.0,0.6,20.0,0.0,0.8333,0.5963,3.578
13b,Approach bajo desde 5ta linea a 4-4,approach,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358,2.716
14b,San-san joseki + extension 3ra linea,joseki,7,-0.4286,2.665,0.0,-1.0,3.0,-6.0,9.0,0.5,24.0,0.0,1.0,0.5255,3.6788
15b,San-san joseki — hane blanco,joseki,5,1.0,2.9665,0.0,6.0,6.0,-3.0,9.0,0.5,8.0,-0.8,1.0,0.6685,3.3423
16b,Approach a cercado (menos frecuente),approach,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,1.0405,3.1214
17b,Tras hane blanco en joseki,joseki,6,1.0,2.708,0.0,1.0,6.0,-3.0,9.0,0.4,0.0,-0.6667,1.0,0.5874,3.5246
18b,Joseki menos frecuente en juego moderno,joseki,4,0.0,3.6742,0.0,6.0,6.0,-3.0,9.0,0.3333,0.0,0.0,1.0,0.7798,3.1192
19b,Continuation de joseki (patron 9b),joseki,6,0.6667,1.5986,0.0,-2.0,3.0,-2.0,5.0,0.4,4.0,-0.3333,1.0,0.5874,3.5246
