game_id,n_moves,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,move_10,move_11,move_12,move_13,move_14,move_15,move_16,move_17,move_18,move_19,move_20,move_21,move_22,move_23,move_24,move_25,move_26,move_27,move_28,move_29,move_30,sequence
31mn-gokifu-20200319-Gu_Lingyi-Tao_Xinran,30,B:Q16,W:D4,B:Q4,W:D17,B:C15,W:D12,B:C10,W:C16,B:D15,W:F16,B:C12,W:R17,B:Q17,W:R16,B:Q15,W:S14,B:H17,W:G18,B:F3,W:C6,B:D3,W:C3,B:C2,W:B3,B:E4,W:D2,B:E3,W:B2,B:O3,W:R13,B:Q16|W:D4|B:Q4|W:D17|B:C15|W:D12|B:C10|W:C16|B:D15|W:F16|B:C12|W:R17|B:Q17|W:R16|B:Q15|W:S14|B:H17|W:G18|B:F3|W:C6|B:D3|W:C3|B:C2|W:B3|B:E4|W:D2|B:E3|W:B2|B:O3|W:R13
31pr-gokifu-20200323-Li_Xiaoxi-Lu_Jia,30,B:Q16,W:D4,B:Q3,W:D16,B:C3,W:D3,B:C4,W:D5,B:B6,W:R5,B:P4,W:R8,B:H3,W:R17,B:Q17,W:R16,B:Q15,W:S14,B:F17,W:K16,B:D14,W:E14,B:E13,W:F14,B:D13,W:F16,B:C17,W:C16,B:D17,W:E16,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:D5|B:B6|W:R5|B:P4|W:R8|B:H3|W:R17|B:Q17|W:R16|B:Q15|W:S14|B:F17|W:K16|B:D14|W:E14|B:E13|W:F14|B:D13|W:F16|B:C17|W:C16|B:D17|W:E16
31ps-gokifu-20200323-Tang_Yi-Wang_Shuang,30,B:R16,W:D16,B:Q3,W:D3,B:C5,W:E4,B:F17,W:C14,B:O16,W:R5,B:R9,W:P4,B:P3,W:O4,B:N3,W:E17,B:F16,W:M17,B:K17,W:M15,B:N17,W:Q15,B:O14,W:Q16,B:R17,W:Q17,B:R15,W:Q13,B:R14,W:Q14,B:R16|W:D16|B:Q3|W:D3|B:C5|W:E4|B:F17|W:C14|B:O16|W:R5|B:R9|W:P4|B:P3|W:O4|B:N3|W:E17|B:F16|W:M17|B:K17|W:M15|B:N17|W:Q15|B:O14|W:Q16|B:R17|W:Q17|B:R15|W:Q13|B:R14|W:Q14
31pt-gokifu-20200324-Wang_Chenxing-Tang_Yi,30,B:Q16,W:D4,B:R4,W:D17,B:F3,W:P3,B:N4,W:N3,B:M3,W:M4,B:N5,W:L3,B:M2,W:N2,B:L2,W:Q5,B:Q4,W:P4,B:P5,W:L4,B:K3,W:K4,B:J3,W:O5,B:P6,W:O4,B:R7,W:J4,B:H4,W:H5,B:Q16|W:D4|B:R4|W:D17|B:F3|W:P3|B:N4|W:N3|B:M3|W:M4|B:N5|W:L3|B:M2|W:N2|B:L2|W:Q5|B:Q4|W:P4|B:P5|W:L4|B:K3|W:K4|B:J3|W:O5|B:P6|W:O4|B:R7|W:J4|B:H4|W:H5
31pu-gokifu-20200324-Lu_Jia-Cao_Youyin,30,B:Q16,W:D4,B:R4,W:P3,B:Q6,W:D17,B:C15,W:C16,B:D15,W:F17,B:D11,W:F3,B:C6,W:R17,B:R16,W:Q17,B:P16,W:O18,B:M3,W:Q12,B:R10,W:Q10,B:Q9,W:P10,B:R11,W:R12,B:Q8,W:O13,B:M15,W:N17,B:Q16|W:D4|B:R4|W:P3|B:Q6|W:D17|B:C15|W:C16|B:D15|W:F17|B:D11|W:F3|B:C6|W:R17|B:R16|W:Q17|B:P16|W:O18|B:M3|W:Q12|B:R10|W:Q10|B:Q9|W:P10|B:R11|W:R12|B:Q8|W:O13|B:M15|W:N17
31pv-gokifu-20200324-Chen_Yiming-Li_Xiaoxi,30,B:Q16,W:D4,B:Q3,W:D16,B:C3,W:D3,B:C4,W:C5,B:B5,W:B6,B:C6,W:D5,B:B7,W:B4,B:A6,W:B3,B:Q6,W:R17,B:R16,W:Q17,B:P16,W:O18,B:K4,W:N17,B:Q11,W:C14,B:N16,W:M16,B:M15,W:L15,B:Q16|W:D4|B:Q3|W:D16|B:C3|W:D3|B:C4|W:C5|B:B5|W:B6|B:C6|W:D5|B:B7|W:B4|B:A6|W:B3|B:Q6|W:R17|B:R16|W:Q17|B:P16|W:O18|B:K4|W:N17|B:Q11|W:C14|B:N16|W:M16|B:M15|W:L15
31pw-gokifu-20200324-Zhan_Ying-Tao_Ran,30,B:Q16,W:D16,B:Q3,W:D4,B:Q6,W:R17,B:R16,W:Q17,B:O17,W:P17,B:P16,W:O18,B:F3,W:Q12,B:Q10,W:O16,B:N17,W:N18,B:M17,W:O15,B:S17,W:S18,B:S15,W:L16,B:L17,W:O13,B:T18,W:S19,B:M18,W:Q18,B:Q16|W:D16|B:Q3|W:D4|B:Q6|W:R17|B:R16|W:Q17|B:O17|W:P17|B:P16|W:O18|B:F3|W:Q12|B:Q10|W:O16|B:N17|W:N18|B:M17|W:O15|B:S17|W:S18|B:S15|W:L16|B:L17|W:O13|B:T18|W:S19|B:M18|W:Q18
31px-gokifu-20200324-Li_He-Zhang_Zihan,30,B:R16,W:D16,B:Q4,W:D3,B:C5,W:E4,B:F17,W:C8,B:C14,W:F16,B:G16,W:F15,B:D17,W:C17,B:E17,W:C16,B:C11,W:E12,B:D10,W:E8,B:H17,W:E10,B:B15,W:D14,B:D9,W:D8,B:E9,W:F9,B:E11,W:F11,B:R16|W:D16|B:Q4|W:D3|B:C5|W:E4|B:F17|W:C8|B:C14|W:F16|B:G16|W:F15|B:D17|W:C17|B:E17|W:C16|B:C11|W:E12|B:D10|W:E8|B:H17|W:E10|B:B15|W:D14|B:D9|W:D8|B:E9|W:F9|B:E11|W:F11
31qz-gokifu-20200325-Wang_Xiangyun-Tang_Yi,30,B:R16,W:D17,B:Q3,W:D3,B:R6,W:C14,B:L17,W:D6,B:K4,W:P16,B:Q14,W:M15,B:J16,W:M17,B:L16,W:M16,B:Q17,W:G17,B:K14,W:L13,B:D16,W:C16,B:E17,W:D18,B:D15,W:C15,B:G16,W:R12,B:Q12,W:Q11,B:R16|W:D17|B:Q3|W:D3|B:R6|W:C14|B:L17|W:D6|B:K4|W:P16|B:Q14|W:M15|B:J16|W:M17|B:L16|W:M16|B:Q17|W:G17|B:K14|W:L13|B:D16|W:C16|B:E17|W:D18|B:D15|W:C15|B:G16|W:R12|B:Q12|W:Q11
31r0-gokifu-20200325-Li_He-Chen_Yiming,30,B:Q16,W:D16,B:R4,W:D4,B:F3,W:P3,B:M3,W:P6,B:Q3,W:O4,B:R6,W:J4,B:M5,W:G4,B:N6,W:Q2,B:R2,W:Q4,B:R3,W:Q7,B:N9,W:Q10,B:C3,W:D3,B:C4,W:D5,B:D2,W:E2,B:C2,W:E3,B:Q16|W:D16|B:R4|W:D4|B:F3|W:P3|B:M3|W:P6|B:Q3|W:O4|B:R6|W:J4|B:M5|W:G4|B:N6|W:Q2|B:R2|W:Q4|B:R3|W:Q7|B:N9|W:Q10|B:C3|W:D3|B:C4|W:D5|B:D2|W:E2|B:C2|W:E3
