length,rank,count,pct,sequence,short
1,1,1652,54.63,B:Q16,Q16
1,2,1321,43.68,B:R16,R16
1,3,22,0.73,B:R17,R17
1,4,7,0.23,B:D16,D16
1,5,7,0.23,B:Q3,Q3
1,6,6,0.2,B:Q4,Q4
1,7,3,0.1,W:D17,D17
1,8,2,0.07,B:D17,D17
1,9,2,0.07,B:C4,C4
1,10,1,0.03,B:Q17,Q17
1,11,1,0.03,B:R15,R15
2,1,835,27.61,B:Q16|W:D4,Q16·D4
2,2,578,19.11,B:Q16|W:D16,Q16·D16
2,3,532,17.59,B:R16|W:D16,R16·D16
2,4,350,11.57,B:R16|W:D4,R16·D4
2,5,222,7.34,B:R16|W:D17,R16·D17
2,6,171,5.65,B:R16|W:Q4,R16·Q4
2,7,105,3.47,B:Q16|W:D17,Q16·D17
2,8,38,1.26,B:Q16|W:Q4,Q16·Q4
2,9,31,1.03,B:Q16|W:C4,Q16·C4
2,10,25,0.83,B:Q16|W:C17,Q16·C17
2,11,22,0.73,B:Q16|W:C3,Q16·C3
2,12,19,0.63,B:R16|W:C4,R16·C4
2,13,17,0.56,B:R17|W:D4,R17·D4
2,14,11,0.36,B:Q16|W:R4,Q16·R4
2,15,6,0.2,B:R16|W:C3,R16·C3
2,16,5,0.17,B:D16|W:D4,D16·D4
2,17,5,0.17,B:Q3|W:D4,Q3·D4
2,18,5,0.17,B:R16|W:C17,R16·C17
2,19,5,0.17,B:R16|W:R4,R16·R4
2,20,4,0.13,B:R17|W:D16,R17·D16
3,1,378,12.5,B:R16|W:D16|B:Q3,R16·D16·Q3
3,2,345,11.41,B:Q16|W:D4|B:Q3,Q16·D4·Q3
3,3,222,7.34,B:Q16|W:D4|B:Q4,Q16·D4·Q4
3,4,217,7.18,B:Q16|W:D16|B:Q3,Q16·D16·Q3
3,5,216,7.14,B:Q16|W:D4|B:R4,Q16·D4·R4
3,6,184,6.08,B:Q16|W:D16|B:R4,Q16·D16·R4
3,7,153,5.06,B:Q16|W:D16|B:Q4,Q16·D16·Q4
3,8,132,4.37,B:R16|W:D4|B:C16,R16·D4·C16
3,9,112,3.7,B:R16|W:D4|B:Q3,R16·D4·Q3
3,10,80,2.65,B:R16|W:D4|B:D17,R16·D4·D17
3,11,75,2.48,B:R16|W:Q4|B:D17,R16·Q4·D17
3,12,74,2.45,B:R16|W:D17|B:Q3,R16·D17·Q3
3,13,66,2.18,B:R16|W:Q4|B:C16,R16·Q4·C16
3,14,61,2.02,B:R16|W:D17|B:D4,R16·D17·D4
3,15,61,2.02,B:R16|W:D16|B:C4,R16·D16·C4
3,16,50,1.65,B:Q16|W:D4|B:C3,Q16·D4·C3
3,17,40,1.32,B:R16|W:D16|B:Q4,R16·D16·Q4
3,18,36,1.19,B:R16|W:D17|B:D3,R16·D17·D3
3,19,31,1.03,B:R16|W:D17|B:Q4,R16·D17·Q4
3,20,29,0.96,B:Q16|W:D17|B:Q3,Q16·D17·Q3
4,1,210,6.94,B:R16|W:D16|B:Q3|W:D4,R16·D16·Q3·D4
4,2,202,6.68,B:Q16|W:D4|B:Q3|W:D16,Q16·D4·Q3·D16
4,3,146,4.83,B:R16|W:D16|B:Q3|W:D3,R16·D16·Q3·D3
4,4,141,4.66,B:Q16|W:D4|B:Q3|W:D17,Q16·D4·Q3·D17
4,5,126,4.17,B:Q16|W:D4|B:Q4|W:D17,Q16·D4·Q4·D17
4,6,120,3.97,B:Q16|W:D16|B:Q3|W:D4,Q16·D16·Q3·D4
4,7,108,3.57,B:Q16|W:D4|B:R4|W:D16,Q16·D4·R4·D16
4,8,101,3.34,B:Q16|W:D4|B:R4|W:D17,Q16·D4·R4·D17
4,9,92,3.04,B:Q16|W:D16|B:R4|W:D3,Q16·D16·R4·D3
4,10,89,2.94,B:Q16|W:D4|B:Q4|W:D16,Q16·D4·Q4·D16
4,11,88,2.91,B:Q16|W:D16|B:Q3|W:D3,Q16·D16·Q3·D3
4,12,86,2.84,B:Q16|W:D16|B:R4|W:D4,Q16·D16·R4·D4
4,13,77,2.55,B:Q16|W:D16|B:Q4|W:D3,Q16·D16·Q4·D3
4,14,74,2.45,B:R16|W:D4|B:C16|W:R4,R16·D4·C16·R4
4,15,73,2.41,B:Q16|W:D16|B:Q4|W:D4,Q16·D16·Q4·D4
4,16,63,2.08,B:R16|W:Q4|B:D17|W:C4,R16·Q4·D17·C4
4,17,59,1.95,B:R16|W:D4|B:Q3|W:D17,R16·D4·Q3·D17
4,18,53,1.75,B:R16|W:D4|B:Q3|W:D16,R16·D4·Q3·D16
4,19,47,1.55,B:R16|W:Q4|B:C16|W:C4,R16·Q4·C16·C4
4,20,47,1.55,B:R16|W:D16|B:C4|W:Q4,R16·D16·C4·Q4
5,1,77,2.55,B:R16|W:D16|B:Q3|W:D4|B:O16,R16·D16·Q3·D4·O16
5,2,71,2.35,B:R16|W:D16|B:Q3|W:D4|B:P17,R16·D16·Q3·D4·P17
5,3,65,2.15,B:Q16|W:D4|B:Q3|W:D16|B:C3,Q16·D4·Q3·D16·C3
5,4,61,2.02,B:Q16|W:D4|B:Q4|W:D17|B:C15,Q16·D4·Q4·D17·C15
5,5,55,1.82,B:R16|W:D16|B:Q3|W:D3|B:O16,R16·D16·Q3·D3·O16
5,6,55,1.82,B:Q16|W:D4|B:R4|W:D16|B:P4,Q16·D4·R4·D16·P4
5,7,50,1.65,B:Q16|W:D4|B:Q3|W:D17|B:C15,Q16·D4·Q3·D17·C15
5,8,50,1.65,B:Q16|W:D4|B:Q3|W:D17|B:C3,Q16·D4·Q3·D17·C3
5,9,46,1.52,B:R16|W:D17|B:D4|W:Q4|B:C15,R16·D17·D4·Q4·C15
5,10,42,1.39,B:Q16|W:D4|B:Q3|W:D16|B:O17,Q16·D4·Q3·D16·O17
5,11,41,1.36,B:Q16|W:D16|B:Q4|W:D4|B:C3,Q16·D16·Q4·D4·C3
5,12,41,1.36,B:Q16|W:D16|B:R4|W:D3|B:C5,Q16·D16·R4·D3·C5
5,13,41,1.36,B:Q16|W:D4|B:C3|W:D3|B:C4,Q16·D4·C3·D3·C4
5,14,41,1.36,B:Q16|W:D4|B:Q4|W:D17|B:C3,Q16·D4·Q4·D17·C3
5,15,39,1.29,B:Q16|W:D16|B:Q3|W:D4|B:C3,Q16·D16·Q3·D4·C3
5,16,39,1.29,B:Q16|W:D4|B:Q4|W:D16|B:C3,Q16·D4·Q4·D16·C3
5,17,39,1.29,B:Q16|W:D4|B:R4|W:D17|B:P4,Q16·D4·R4·D17·P4
